CP011857.1	6213	6388	176
CP011857.1	7621	13160	5540
CP011857.1	48843	50315	1473
CP011857.1	58127	61978	3852
CP011857.1	118440	118997	558
CP011857.1	169567	169610	44
CP011857.1	235655	242281	6627
CP011857.1	269788	269889	102
CP011857.1	291220	291814	595
CP011857.1	299804	303479	3676
CP011857.1	303974	306160	2187
CP011857.1	413995	414102	108
CP011857.1	523947	524214	268
CP011857.1	529560	529684	125
CP011857.1	564386	567567	3182
CP011857.1	679385	679515	131
CP011857.1	686957	688125	1169
CP011857.1	715052	720061	5010
CP011857.1	790491	792207	1717
CP011857.1	793409	793475	67
CP011857.1	796696	797857	1162
CP011857.1	798750	798937	188
CP011857.1	800997	801341	345
CP011857.1	808192	808447	256
CP011857.1	808608	809204	597
CP011857.1	810313	810462	150
CP011857.1	810697	812202	1506
CP011857.1	813604	823053	9450
CP011857.1	823428	824558	1131
CP011857.1	824875	825835	961
CP011857.1	826138	826202	65
CP011857.1	826322	826342	21
CP011857.1	835231	836412	1182
CP011857.1	864349	864429	81
CP011857.1	911555	911668	114
CP011857.1	970640	970771	132
CP011857.1	1051455	1051625	171
CP011857.1	1061533	1062012	480
CP011857.1	1105497	1105788	292
CP011857.1	1126920	1126920	1
CP011857.1	1127955	1129395	1441
CP011857.1	1148375	1152349	3975
CP011857.1	1208443	1215404	6962
CP011857.1	1337219	1344035	6817
CP011857.1	1344330	1356889	12560
CP011857.1	1357447	1357792	346
CP011857.1	1358203	1365682	7480
CP011857.1	1366043	1366198	156
CP011857.1	1366554	1373169	6616
CP011857.1	1373485	1376920	3436
CP011857.1	1377688	1380091	2404
CP011857.1	1474528	1474528	1
CP011857.1	1486913	1490202	3290
CP011857.1	1563056	1563115	60
CP011857.1	1588484	1588869	386
CP011857.1	1682968	1683370	403
CP011857.1	1683707	1683878	172
CP011857.1	1687425	1688337	913
CP011857.1	1688456	1688473	18
CP011857.1	1688665	1690642	1978
CP011857.1	1694834	1695438	605
CP011857.1	1784347	1785227	881
CP011857.1	1857613	1857715	103
CP011857.1	1891765	1892765	1001
CP011857.1	1921114	1934562	13449
CP011857.1	2010323	2010381	59
CP011857.1	2024637	2027044	2408
CP011857.1	2287594	2289588	1995
CP011857.1	2314153	2316507	2355
CP011857.1	2333254	2335122	1869
CP011857.1	2365515	2365946	432
CP011857.1	2366885	2367490	606
CP011857.1	2379604	2379671	68
CP011857.1	2423441	2423590	150
CP011857.1	2456205	2457706	1502
CP011857.1	2508823	2510329	1507
CP011857.1	2510613	2529094	18482
CP011857.1	2529457	2558293	28837
CP011857.1	2559885	2560635	751
CP011857.1	2571804	2574073	2270
CP011857.1	2575378	2603601	28224
CP011857.1	2616823	2617288	466
CP011857.1	2618797	2619507	711
CP011857.1	2619631	2620927	1297
CP011857.1	2621240	2673915	52676
CP011857.1	2680274	2680378	105
CP011857.1	2691224	2694708	3485
CP011857.1	2695061	2698636	3576
CP011857.1	2704035	2707946	3912
CP011857.1	2712974	2713434	461
CP011857.1	2718771	2718787	17
CP011857.1	2720003	2726262	6260
CP011857.1	2731043	2731529	487
CP011857.1	2733315	2733959	645
CP011857.1	2736615	2738480	1866
CP011857.1	2738813	2739101	289
CP011857.1	2759950	2760089	140
CP011857.1	2852874	2852972	99
CP011857.1	2855122	2855966	845
CP011857.1	2883090	2884274	1185
CP011857.1	2891373	2895203	3831
CP011857.1	2895540	2895940	401
CP011857.1	2898527	2902634	4108
CP011857.1	2902949	2904391	1443
CP011857.1	2904583	2906462	1880
CP011857.1	2906691	2907103	413
CP011857.1	2956379	2956860	482
CP011857.1	3038492	3039604	1113
CP011857.1	3081880	3088460	6581
CP011857.1	3094233	3094335	103
CP011857.1	3133801	3136662	2862
CP011857.1	3174746	3174876	131
CP011857.1	3210036	3260683	50648
CP011857.1	3339050	3339259	210
CP011857.1	3400272	3400295	24
CP011857.1	3400715	3401696	982
CP011857.1	3495708	3496517	810
CP011857.1	3580920	3581066	147
CP011857.1	3607684	3612327	4644
CP011857.1	3618676	3618826	151
CP011857.1	3651711	3651854	144
CP011857.1	3653179	3653998	820
CP011857.1	3655651	3657041	1391
CP011857.1	3669177	3670356	1180
CP011857.1	3690934	3691476	543
CP011857.1	3710639	3710766	128
CP011857.1	3925626	3926089	464
CP011857.1	4015459	4015602	144
CP011857.1	4019278	4019745	468
CP011857.1	4022370	4032898	10529
CP011857.1	4036364	4036464	101
CP011857.1	4037373	4037513	141
CP011857.1	4038420	4040823	2404
CP011857.1	4041751	4041844	94
CP011857.1	4041966	4042641	676
CP011857.1	4043472	4043732	261
CP011857.1	4045925	4049241	3317
CP011857.1	4118000	4118153	154
CP011857.1	4120572	4127721	7150
CP011857.1	4131069	4132915	1847
CP011857.1	4208726	4208825	100
CP011857.1	4217057	4217620	564
CP011857.1	4261844	4262544	701
CP011857.1	4262993	4263006	14
CP011857.1	4345677	4363866	18190
CP011857.1	4424431	4424494	64
CP011857.1	4437376	4437438	63
CP011857.1	4437575	4438548	974
CP011857.1	4438735	4439186	452
CP011857.1	4516508	4521055	4548
CP011857.1	4698342	4698627	286
CP011857.1	4857549	4866938	9390
CP011857.1	4867007	4868537	1531
CP011857.1	4869779	4911079	41301
CP011857.1	4911396	4912352	957
CP011857.1	4944715	4944816	102
CP011857.1	5010803	5015209	4407
CP011857.1	5015502	5025889	10388
CP011857.1	5026243	5029988	3746
CP011857.1	5030357	5079386	49030
CP011857.1	5079784	5096831	17048
CP011857.1	5096972	5098088	1117
CP011857.1	5105786	5106101	316
CP011857.1	5109393	5112975	3583
CP011857.1	5119729	5121723	1995
CP011857.1	5122956	5128014	5059
CP011857.1	5128189	5130609	2421
CP011857.1	5131993	5132367	375
CP011857.1	5134207	5136022	1816
CP011857.1	5136389	5146210	9822
CP011857.1	5153235	5153265	31
CP011857.1	5170256	5179522	9267
CP011857.1	5180255	5180461	207
CP011857.1	5181542	5183981	2440
CP011857.1	5209537	5209836	300
CP011857.1	5274091	5274296	206
CP011857.1	5469637	5471265	1629
CP011857.1	5485015	5486894	1880
CP011857.1	5504370	5505047	678
CP011857.1	5505383	5521353	15971
