JAFFXY010001000.1	1	343	343
JAFFXY010001001.1	1	343	343
JAFFXY010001002.1	1	343	343
JAFFXY010001003.1	1	343	343
JAFFXY010001004.1	1	343	343
JAFFXY010001005.1	1	343	343
JAFFXY010001006.1	1	342	342
JAFFXY010001007.1	1	342	342
JAFFXY010001008.1	1	342	342
JAFFXY010001009.1	1	342	342
JAFFXY010000100.1	1	615	615
JAFFXY010000100.1	2	687	686
JAFFXY010001010.1	1	342	342
JAFFXY010001011.1	1	342	342
JAFFXY010001012.1	1	342	342
JAFFXY010001013.1	1	342	342
JAFFXY010001014.1	1	341	341
JAFFXY010001015.1	1	341	341
JAFFXY010001016.1	1	341	341
JAFFXY010001017.1	1	341	341
JAFFXY010001018.1	1	341	341
JAFFXY010001019.1	1	341	341
JAFFXY010000101.1	1	687	687
JAFFXY010001020.1	1	341	341
JAFFXY010001021.1	1	341	341
JAFFXY010001022.1	1	341	341
JAFFXY010001023.1	1	340	340
JAFFXY010001024.1	1	340	340
JAFFXY010001025.1	1	340	340
JAFFXY010001026.1	1	340	340
JAFFXY010001027.1	1	340	340
JAFFXY010001028.1	1	340	340
JAFFXY010001029.1	1	340	340
JAFFXY010000102.1	1	687	687
JAFFXY010001030.1	1	340	340
JAFFXY010001031.1	1	340	340
JAFFXY010001032.1	1	339	339
JAFFXY010001033.1	1	339	339
JAFFXY010001034.1	1	339	339
JAFFXY010001035.1	1	339	339
JAFFXY010001036.1	1	339	339
JAFFXY010001037.1	1	339	339
JAFFXY010001038.1	1	339	339
JAFFXY010001039.1	1	339	339
JAFFXY010000103.1	1	684	684
JAFFXY010001040.1	1	339	339
JAFFXY010001041.1	1	339	339
JAFFXY010001042.1	1	339	339
JAFFXY010001043.1	1	339	339
JAFFXY010001044.1	1	339	339
JAFFXY010001045.1	1	339	339
JAFFXY010001046.1	1	339	339
JAFFXY010001047.1	1	339	339
JAFFXY010001048.1	1	339	339
JAFFXY010001049.1	1	339	339
JAFFXY010000104.1	1	684	684
JAFFXY010001050.1	1	339	339
JAFFXY010001051.1	1	339	339
JAFFXY010001052.1	1	338	338
JAFFXY010001053.1	1	338	338
JAFFXY010001054.1	1	338	338
JAFFXY010001055.1	1	338	338
JAFFXY010001056.1	1	338	338
JAFFXY010001057.1	1	338	338
JAFFXY010001058.1	1	338	338
JAFFXY010001059.1	1	338	338
JAFFXY010000105.1	1	684	684
JAFFXY010001060.1	1	338	338
JAFFXY010001061.1	1	338	338
JAFFXY010001062.1	1	338	338
JAFFXY010001063.1	1	338	338
JAFFXY010001064.1	1	338	338
JAFFXY010001065.1	1	337	337
JAFFXY010001066.1	1	337	337
JAFFXY010001067.1	1	337	337
JAFFXY010001068.1	1	337	337
JAFFXY010001069.1	1	337	337
JAFFXY010000106.1	1	680	680
JAFFXY010001070.1	1	337	337
JAFFXY010001071.1	1	337	337
JAFFXY010001072.1	1	336	336
JAFFXY010001073.1	1	336	336
JAFFXY010001074.1	1	336	336
JAFFXY010001075.1	1	335	335
JAFFXY010001075.1	2	336	335
JAFFXY010001076.1	1	336	336
JAFFXY010001077.1	1	336	336
JAFFXY010001078.1	1	336	336
JAFFXY010001079.1	1	336	336
JAFFXY010000107.1	1	672	672
JAFFXY010001080.1	1	336	336
JAFFXY010001081.1	1	336	336
JAFFXY010001082.1	1	336	336
JAFFXY010001083.1	1	336	336
JAFFXY010001084.1	1	336	336
JAFFXY010001085.1	1	335	335
JAFFXY010001086.1	1	335	335
JAFFXY010001087.1	1	335	335
JAFFXY010001088.1	1	335	335
JAFFXY010001089.1	1	334	334
JAFFXY010001089.1	2	335	334
JAFFXY010000108.1	1	661	661
JAFFXY010001090.1	1	335	335
JAFFXY010001091.1	1	335	335
JAFFXY010001092.1	1	334	334
JAFFXY010001093.1	1	334	334
JAFFXY010001094.1	1	334	334
JAFFXY010001095.1	1	334	334
JAFFXY010001096.1	1	334	334
JAFFXY010001097.1	1	334	334
JAFFXY010001098.1	1	334	334
JAFFXY010001099.1	1	334	334
JAFFXY010000109.1	1	661	661
JAFFXY010000010.1	1	34052	34052
JAFFXY010000010.1	2	55539	55538
JAFFXY010000010.1	38995	132919	93925
JAFFXY010000010.1	77048	222707	145660
JAFFXY010000010.1	133803	228131	94329
JAFFXY010000010.1	223942	228622	4681
JAFFXY010000010.1	228507	228923	417
JAFFXY010000010.1	228735	229715	981
JAFFXY010001100.1	1	334	334
JAFFXY010001101.1	1	334	334
JAFFXY010001102.1	1	334	334
JAFFXY010001103.1	1	334	334
JAFFXY010001104.1	1	334	334
JAFFXY010001105.1	1	334	334
JAFFXY010001106.1	1	334	334
JAFFXY010001107.1	1	334	334
JAFFXY010001108.1	1	333	333
JAFFXY010001109.1	1	333	333
JAFFXY010000110.1	1	659	659
JAFFXY010001110.1	1	333	333
JAFFXY010001111.1	1	333	333
JAFFXY010001112.1	1	333	333
JAFFXY010001113.1	1	333	333
JAFFXY010001114.1	1	333	333
